,layer,id-i,id-j,gene-i,gene-j,is_conserved-i,is_conserved-j,weight,is_metric,is_metric_ortho
0,DM,FBgn0003943,FBgn0033984,Ubi-p63E,Lap1,True,True,0.906,True,is_metric_ortho-MM
1,DM,FBgn0003943,FBgn0003942,Ubi-p63E,RpS27A,True,True,0.996,True,is_metric_ortho-HS-MM
2,DM,FBgn0003943,FBgn0029853,Ubi-p63E,CG3781,True,True,0.913,True,is_metric_ortho-HS-MM
3,DM,FBgn0003943,FBgn0086558,Ubi-p63E,Ubi-p5E,True,True,0.999,True,is_metric_ortho-HS
4,DM,FBgn0003943,FBgn0010435,Ubi-p63E,emp,True,True,0.9,True,False
5,DM,FBgn0003943,FBgn0035090,Ubi-p63E,CG2736,True,False,0.9,True,False
6,DM,FBgn0003943,FBgn0035817,Ubi-p63E,CG7409,True,False,0.906,True,False
7,DM,FBgn0003943,FBgn0053144,Ubi-p63E,CG33144,True,False,0.931,True,False
8,DM,FBgn0003943,FBgn0016754,Ubi-p63E,sba,True,True,0.9,True,is_metric_ortho-MM
9,DM,FBgn0003943,FBgn0037486,Ubi-p63E,CG14605,True,False,0.911,True,False
10,DM,FBgn0003943,FBgn0036316,Ubi-p63E,CG10960,True,True,0.913,True,False
11,DM,FBgn0003943,FBgn0053281,Ubi-p63E,CG33281,True,False,0.91,True,False
12,DM,FBgn0003943,FBgn0002778,Ubi-p63E,mnd,True,True,0.9,True,False
13,DM,FBgn0003943,FBgn0031969,Ubi-p63E,pes,True,False,0.9,True,False
14,DM,FBgn0003943,FBgn0029152,Ubi-p63E,Mkrn1,True,True,0.903,True,False
15,DM,FBgn0003943,FBgn0030578,Ubi-p63E,CG5347,True,True,0.903,True,False
16,DM,FBgn0003943,FBgn0050035,Ubi-p63E,Tret1-1,True,True,0.91,True,False
17,DM,FBgn0003943,FBgn0036809,Ubi-p63E,CG12477,True,True,0.903,True,False
18,DM,FBgn0003943,FBgn0028560,Ubi-p63E,sut4,True,True,0.911,True,False
19,DM,FBgn0003943,FBgn0031450,Ubi-p63E,Hrs,True,True,0.99,True,is_metric_ortho-MM
20,DM,FBgn0003943,FBgn0087007,Ubi-p63E,bbg,True,False,0.923,True,False
21,DM,FBgn0003943,FBgn0023097,Ubi-p63E,bon,True,True,0.924,True,False
22,DM,FBgn0003943,FBgn0033783,Ubi-p63E,CG17019,True,True,0.9,True,False
23,DM,FBgn0003943,FBgn0015321,Ubi-p63E,Ubc4,True,True,0.986,True,is_metric_ortho-HS-MM
24,DM,FBgn0003943,FBgn0034045,Ubi-p63E,CG8249,True,False,0.91,True,False
25,DM,FBgn0003943,FBgn0259174,Ubi-p63E,Nedd4,True,True,0.976,True,is_metric_ortho-MM
26,DM,FBgn0003943,FBgn0025697,Ubi-p63E,santa-maria,True,False,0.9,True,False
27,DM,FBgn0003943,FBgn0037008,Ubi-p63E,mTerf3,True,True,0.9,True,False
28,DM,FBgn0003943,FBgn0034247,Ubi-p63E,CG6484,True,True,0.91,True,False
29,DM,FBgn0003943,FBgn0030839,Ubi-p63E,CG5613,True,False,0.903,True,is_metric_ortho-MM
30,DM,FBgn0003943,FBgn0031520,Ubi-p63E,CG8837,True,False,0.91,True,False
31,DM,FBgn0003943,FBgn0033644,Ubi-p63E,Tret1-2,True,True,0.91,True,False
32,DM,FBgn0003943,FBgn0015924,Ubi-p63E,crq,True,False,0.906,True,False
33,DM,FBgn0003943,FBgn0039013,Ubi-p63E,CG4813,True,True,0.9,True,False
34,DM,FBgn0003943,FBgn0036516,Ubi-p63E,CG7656,True,True,0.978,True,is_metric_ortho-HS-MM
35,DM,FBgn0003943,FBgn0037386,Ubi-p63E,CG1208,True,False,0.91,True,False
36,DM,FBgn0003943,FBgn0031517,Ubi-p63E,CG15406,True,False,0.91,True,False
37,DM,FBgn0003943,FBgn0015230,Ubi-p63E,Glut3,True,True,0.911,True,False
38,DM,FBgn0003943,FBgn0259745,Ubi-p63E,wech,True,False,0.924,True,False
39,DM,FBgn0003943,FBgn0051100,Ubi-p63E,CG31100,True,False,0.91,True,False
40,DM,FBgn0003943,FBgn0037554,Ubi-p63E,DNApol-iota,True,True,0.974,True,is_metric_ortho-MM
41,DM,FBgn0003943,FBgn0033916,Ubi-p63E,Usp20-33,True,True,0.918,True,False
42,DM,FBgn0003943,FBgn0027562,Ubi-p63E,CG10345,True,False,0.9,True,False
